spend,icac_mean,icac_lo95,icac_hi95,ltv_mean
53362.99460869566,293.0232101556487,242.73560159280132,377.45495618775476,37901.09284974131
54389.20604347827,293.0354154911294,242.81932882003625,377.45831564868064,38628.351036207554
55415.41747826088,293.1006254201701,242.95234236633723,377.4617390624958,39348.432152067544
56441.62891304349,293.1520740732522,242.9777541706547,377.4652264271175,40070.07342379678
57467.840347826095,293.2254489736495,243.00363115114095,377.46877774042247,40788.41051160507
58494.05178260871,293.3260373510877,243.02997324814686,377.5716392219185,41502.53766835641
59520.263217391315,293.4036084501557,243.05730206421134,377.7815011862825,42219.487663295135
60546.47465217392,293.5355803566483,243.19804188223037,377.80062495476386,42928.1009787054
61572.686086956535,293.58968118529106,243.42527479286434,377.8011026972337,43647.650945355665
62598.89752173914,293.6446868626381,243.61075061233046,377.84300874060614,44366.79926221668
63625.10895652175,293.71948396964206,243.61980198666558,377.8519735937958,45082.64042210492
64651.32039130436,293.79823871979994,243.77749911427014,377.86059650312325,45797.50021530158
65677.53182608697,293.86787901225205,243.7783620409464,377.86925447271847,46513.41933106413
66703.74326086958,293.94656339274354,243.77923855565663,377.8780487055347,47227.54607711626
67729.95469565218,294.038735230626,243.78136683194217,377.88697919769413,47939.09160810631
68756.1661304348,294.1941732447733,243.78461580655326,377.8960459452598,48639.7292652021
69782.37756521741,294.2740107350734,243.8745562768237,377.9402375035109,49352.302384987845
70808.589,294.3606916135205,243.8836128417911,378.05151089858384,50063.32547875604
71834.80043478262,294.4347028694408,244.06007369424518,378.07227849863597,50776.113422913826
72861.01186956523,294.4619920553643,244.08563262506925,378.3080638201908,51496.7136097692
73887.22330434783,294.47880591188243,244.11155297494466,378.4847483470591,52219.037664530115
74913.43473913045,294.67764045908586,244.13783469669804,378.7111420886257,52908.57782258353
75939.64617391306,294.7493024759281,244.16473033348078,378.8731550863962,53620.31474295828
76965.85760869566,294.84519934726336,244.19352044540142,379.03163943859494,54327.23671279328
77992.06904347827,295.0203431867957,244.22269551841055,379.192223060718,55018.91723715834
79018.28047826089,295.0622377885393,244.25225549336525,379.2123136930854,55734.936211604
80044.49191304349,295.17587561580126,244.28220031035178,379.22774501851603,56437.0303139281
81070.7033478261,295.20802393382905,244.32770000970453,379.3994388593254,57154.35757495086
82096.91478260871,295.2581232188983,244.41611119205123,379.42972991151754,57868.0096032699
83123.12621739131,295.33305528082883,244.45435569764328,379.45453625445043,58576.49557851795
84149.33765217393,295.41481251628625,244.53453677192192,379.4774509330965,59283.25014829061
85175.54908695654,295.5572691951877,244.6156906623255,379.4985162861368,59977.29306961065
86201.76052173914,295.6723198094088,244.69781696969784,379.5198364924598,60676.29435458107
87227.97195652175,295.7759582782672,244.78091529024414,379.6311779989053,61377.115367710794
88254.18339130437,295.8052845174611,244.7963666766943,379.9426029269114,62093.041648705446
89280.39482608697,295.83633374600697,244.80497320890507,380.1639715221596,62808.46096974998
90306.60626086958,295.8665642904203,244.8761767679876,380.17744533723936,63523.9060600695
91332.8176956522,295.92370010474826,245.02175912347175,380.1881166134603,64233.364901109206
92359.02913043479,295.98334940769047,245.1689495063021,380.1936052533749,64941.99747079059
93385.2405652174,296.1675452904406,245.22969213264682,380.19915518633906,65622.73680595745
94411.45200000002,296.24798287323756,245.26259498084292,380.3602427523657,66325.8520014735
95437.66343478262,296.3862085090462,245.26522463600685,380.8300345021084,67015.51643040404
96463.87486956523,296.4732943291265,245.2678827080706,380.8421176724808,67716.21669784482
97490.08630434785,296.6394277015092,245.2705691966541,382.11301378171015,68398.27419431758
98516.29773913044,296.6960579617456,245.27844513515112,382.2550871312438,69105.06316353417
99542.50917391306,296.8403381777577,245.34867420266235,382.3163253294173,69790.96934747079
100568.72060869567,296.9907635543304,245.46106958205345,382.3300475469459,70474.75039992509
101594.93204347829,297.0974394689449,245.47711984024167,382.468540458642,71168.31746761211
102621.14347826088,297.2308917435393,245.49333261015138,382.6774192279695,71854.9131165318
103647.3549130435,297.27821307359363,245.50970787862428,382.7262546589994,72561.91330298729
104673.56634782611,297.27841964024344,245.52624563237165,382.7656438876043,73280.29715876572
105699.77778260871,297.47293327671656,245.54421650427423,382.8054195287342,73950.34110739322
106725.98921739132,297.47841135945436,245.56523823753986,383.1756924254096,74666.93042393768
107752.20065217394,297.48394229910406,245.69135754874338,383.6048391530188,75383.47998922216
108778.41208695654,297.49712633129997,245.85452022675386,383.64324279681705,76098.04525725413
109804.62352173915,297.62154922098875,245.86084922588253,383.6697491204025,76783.83796191693
110830.83495652176,297.94384137259095,245.87589860676113,383.69650357019106,77417.6089916389
111857.04639130436,298.0223705860156,245.9389690498725,383.72350612493676,78113.8508468581
112883.25782608698,298.1569298275215,245.94322758478643,383.7507567631979,78794.91548080792
113909.46926086959,298.22013418108077,245.9507985851305,384.1360269548968,79494.3809565315
114935.68069565219,298.3341051088432,245.9559714081562,385.0635483157692,80179.90355317536
115961.8921304348,298.5548771740086,245.96119057923013,386.7757313738382,80835.97949382408
116988.10356521742,298.75493315339384,246.038471851703,387.0288514351387,81496.72880900011
118014.31500000002,298.8971432284703,246.13625471037628,387.26992570531314,82172.4976135313
119040.52643478263,298.96827261288183,246.23487510196594,387.5210209818915,82867.32094509383
120066.73786956524,299.0419265460948,246.33003386746762,387.7985439721699,83561.10828994485
121092.94930434784,299.1710058949826,246.36009090145203,388.0902460536501,84238.94450398133
122119.16073913046,299.22423217855834,246.36877289276117,388.6703934258041,84937.72368700735
123145.37217391307,299.2808315079109,246.37285876661863,389.255053053524,85635.28661062257
124171.58360869567,299.35386941047045,246.40765599589,389.8353451310028,86327.84722268555
125197.79504347828,299.5081241207031,246.41591089672346,390.41738772435946,86996.47331127204
126224.0064782609,299.6866725198198,246.42423362548251,391.63881395421953,87657.30086994942
127250.2179130435,299.7289586853961,246.4326241793759,391.8951167402024,88357.49489494454
128276.42934782611,299.8214756316359,246.4535588871357,392.2270820899463,89042.57096532892
129302.64078260872,299.86747664610095,246.52635699444713,392.601401879456,89741.14180210071
130328.85221739132,299.96696335208594,246.59972612946783,392.73193222780526,90423.37400447609
131355.06365217394,300.05777249305766,246.67366607947704,393.45781665447504,91107.79165986346
132381.27508695654,300.24376329021857,246.6901248025493,394.7185201354302,91762.68793719984
133407.48652173916,300.3293508239285,246.7030095199016,395.3477924063769,92447.67378417126
